,wl_TT,wl_EE,wl_BB,wl_TT_mkb,wl_EE_mkb,wl_BB_mkb,TT_in,EE_in,BB_in,TT_out,EE_out,BB_out
189,0.011815686249993521,0.011821529173751202,0.011821529173751202,0.011814617814355496,0.011820460209765701,0.011820460209765701,0.4164809439225947,5.1925833675063026e-05,5.281497080480102e-13,0.004919895768139125,6.107482572479443e-07,7.159823712428931e-10
190,0.011273575834092962,0.011279150681180244,0.011279150681180244,0.011272545859313107,0.01127812019707203,0.01127812019707203,0.4560000632549845,5.8140985317249174e-05,1.963524041531383e-12,0.005143331836842671,6.576443342965051e-07,7.042688957522724e-10
191,0.010753679203881017,0.010758996959140713,0.010758996959140713,0.010752686611785463,0.01075800387620275,0.01075800387620275,0.41472566104682074,5.3906203811302615e-05,5.278847648497543e-13,0.004441613105766835,5.804471445509725e-07,7.779944435074508e-10
192,0.010255223010374013,0.010260294276223481,0.010260294276223481,0.010254266738917509,0.010259337531885326,0.010259337531885326,0.3928741423636609,5.3681425082465514e-05,1.9718244540025946e-12,0.004003571480646047,5.529894678247746e-07,6.915949332252381e-10
193,0.009777454130640392,0.009782289137073437,0.009782289137073437,0.009776533134337616,0.00978136768533277,0.00978136768533277,0.4574107039510177,5.48810174665644e-05,5.279106793822736e-13,0.004476920655144723,5.344843903297722e-07,7.876568565496206e-10
194,0.009319639457489731,0.009324248071974498,0.009324248071974498,0.009318752707806426,0.009323360883788451,0.009323360883788451,0.42690091807635744,5.7415445200904305e-05,1.9795374211728857e-12,0.003964597600837947,5.341533268081916e-07,7.412696765896261e-10
195,0.0088810656747802,0.008885457412045966,0.008885457412045966,0.008880212160485106,0.008884603475683222,0.008884603475683222,0.40932408258506403,4.933084021931894e-05,5.283897722676945e-13,0.003640215431448135,4.390964265923147e-07,7.314262708169234e-10
196,0.008461039019339499,0.008465223051045722,0.008465223051045722,0.008460217746818332,0.008464401372400643,0.008464401372400643,0.4616385031429413,5.67819454071403e-05,1.987933405655572e-12,0.003901058083822006,4.783488949058857e-07,8.273709371978537e-10
197,0.008058885030470843,0.008062870194752348,0.008062870194752348,0.008058095024003465,0.0080620797976223,0.0080620797976223,0.3473543960022532,4.8350542783838976e-05,5.285605654914742e-13,0.002816889942580235,3.904829814183359e-07,7.269137510302612e-10
198,0.007673948287990747,0.007677743098873368,0.007677743098873368,0.007673188589992614,0.0076769830252002725,0.0076769830252002725,0.4101305904172808,5.221940465107734e-05,1.996468302390043e-12,0.0031936322907533546,4.0021313264962926e-07,7.485821622614073e-10
199,0.00730559213971998,0.007309204796401441,0.007309204796401441,0.007304861810949189,0.0073084741064789365,0.0073084741064789365,0.42335609937308627,3.997888908946567e-05,5.280417868396306e-13,0.003100295136919663,2.9093586003281247e-07,7.293415323213542e-10
200,0.006953198419323522,0.006956636815314796,0.006956636815314796,0.006952496539054517,0.006955934587962022,0.006955934587962022,0.42118729975493013,4.513330305862057e-05,2.004788419926661e-12,0.0029215967361094523,3.1169243040456245e-07,6.691046799321585e-10
201,0.006616167155368524,0.0066194388874913105,0.0066194388874913105,0.006615492821533775,0.006618764220194662,0.006618764220194662,0.3816257604678335,5.0646739133976324e-05,5.282687501687951e-13,0.002521785867833154,3.360023393686595e-07,7.543426887728586e-10
202,0.006293916272442889,0.006297028649679304,0.006297028649679304,0.006293268601743691,0.0062963806587032775,0.0062963806587032775,0.3571822282893537,4.5017879415357944e-05,2.012630755182318e-12,0.002262894849753355,2.8364771986088264e-07,7.927725402908146e-10
203,0.00598588128514968,0.005988841337340611,0.005988841337340611,0.005985259413137336,0.005988219157809036,0.005988219157809036,0.36128243035597096,5.190372779009553e-05,5.284570319378433e-13,0.0021632140142802355,3.114422113639252e-07,7.762881081555539e-10
204,0.005691514985765383,0.005694329472154402,0.005694329472154402,0.005690918066893928,0.005693732258103185,0.005693732258103185,0.3118398778975638,4.889799774744479e-05,2.0216969517484143e-12,0.0017757701624052196,2.7537796180185145e-07,7.785022957827418e-10
205,0.005410287126322195,0.005412962543942248,0.005412962543942248,0.005409714333973943,0.005412389468344936,0.005412389468344936,0.4364495001671877,4.849949351940052e-05,5.281366501960807e-13,0.0023667169294934185,2.628050801116561e-07,8.07075938149938e-10
206,0.005141684095847164,0.005144226687747666,0.005144226687747666,0.005141134622332219,0.005143676942514957,0.005143676942514957,0.3453169157916419,4.67233716908034e-05,2.0305008713582307e-12,0.0017846474458752379,2.4003032244060136e-07,8.068954522739736e-10
207,0.004885208593462859,0.004887624356775125,0.004887624356775125,0.004884681649993827,0.004887097152729563,0.004887097152729563,0.3283504494427887,5.064787101624826e-05,5.282715487504034e-13,0.001610342642058855,2.456275420200199e-07,7.629809886474145e-10
208,0.004640379298026763,0.004642673991866074,0.004642673991866074,0.0046398741146698565,0.004642168558693136,0.004642168558693136,0.4147948612882634,4.3908494841807904e-05,2.0388028137909965e-12,0.0019091431771499543,2.0357930608184675e-07,7.079677555414494e-10
209,0.004406730534958773,0.004408909688161696,0.004408909688161696,0.004406246360562462,0.004408425274338403,0.004408425274338403,0.40252891211704295,4.1847771739072395e-05,5.284350159537998e-13,0.0017697402077403944,1.836654619496921e-07,7.397538308344379e-10
210,0.004183811940878647,0.0041858808595745065,0.0041858808595745065,0.004183348042981025,0.004185416732276748,0.004185416732276748,0.33101505232441353,4.771563406032556e-05,2.0468151544111644e-12,0.0013887920970132193,2.0057482191197115e-07,7.195356367264959e-10
211,0.003971188126647798,0.0039731519016635245,0.0039731519016635245,0.003970743791363856,0.003972707346653269,0.003972707346653269,0.4320754420493104,4.1444914712176397e-05,5.287059415941543e-13,0.0017131381437097794,1.6537564904120795e-07,8.327063378603734e-10
212,0.0037684383393827483,0.00377030185348059,0.00377030185348059,0.0037680128712726055,0.003769876174974057,0.003769876174974057,0.3433204190402312,4.444918920475412e-05,2.0558284911292e-12,0.0012979284526989682,1.67620754695328e-07,6.923603323538405e-10
213,0.0035751561239806286,0.003576924058928481,0.003576924058928481,0.0035747488458999135,0.003576516579446449,0.003576516579446449,0.37901763658330795,4.888337898849172e-05,5.282998472818302e-13,0.001358812611862046,1.7450391868905337e-07,7.593838051404369e-10
