,wl_TT,wl_TT_mkb,wl_EE_mkb,wl_BB_mkb,TT_in,EE_in,BB_in,TT_out,EE_out,BB_out
200,0.006956636815314796,0.006952496539054517,0.006955934587962022,0.006955934587962022,0.39226262347854807,3.1106003623881185e-48,3.11060036238812e-48,0.0027124329697440926,2.1739744048739314e-33,1.9369672209048356e-33
201,0.0066194388874913105,0.006615492821533775,0.006618764220194662,0.006618764220194662,0.4291344413604609,6.388110023849102e-55,6.388110023849536e-55,0.002842579983911846,1.652541516470893e-33,1.6684270171884016e-33
202,0.006297028649679304,0.006293268601743691,0.0062963806587032775,0.0062963806587032775,0.39977426795996357,2.9895191454831665e-48,2.9895191454831677e-48,0.0025155921585922384,2.047776382717564e-33,1.6894715994654534e-33
203,0.005988841337340611,0.005985259413137336,0.005988219157809036,0.005988219157809036,0.4261043163706177,6.643305481309781e-55,6.643305481310571e-55,0.0025456468467594954,1.7473391507203918e-33,1.8678255923301498e-33
204,0.005694329472154402,0.005690918066893928,0.005693732258103185,0.005693732258103185,0.3915331489697095,2.8742719564922423e-48,2.8742719564922435e-48,0.002233412689685629,1.9140282233168607e-33,1.621468300550602e-33
205,0.005412962543942248,0.005409714333973943,0.005412389468344936,0.005412389468344936,0.3746293693874268,6.906006035263169e-55,6.906006035263135e-55,0.0020242171354698823,1.8991906048941273e-33,1.4831683532823773e-33
206,0.005144226687747666,0.005141134622332219,0.005143676942514957,0.005143676942514957,0.3704571465906367,2.7645251836750725e-48,2.7645251836750725e-48,0.0019032023193298502,1.8668717746927626e-33,1.7623803799607805e-33
207,0.004887624356775125,0.004884681649993827,0.004887097152729563,0.004887097152729563,0.3659878866511144,7.176342779159083e-55,7.176342779158383e-55,0.0017834743130483368,2.0204902536896193e-33,2.0807442306258954e-33
208,0.004642673991866074,0.0046398741146698565,0.004642168558693136,0.004642168558693136,0.40093874999504076,2.65996742691949e-48,2.65996742691949e-48,0.0018530839213146408,1.9822984005769096e-33,1.717214127922611e-33
209,0.004408909688161696,0.004406246360562462,0.004408425274338403,0.004408425274338403,0.3936512875918845,7.454460405101175e-55,7.454460405100733e-55,0.0017378350323835924,1.907275534201097e-33,1.9865194707188333e-33
210,0.0041858808595745065,0.004183348042981025,0.004185416732276748,0.004185416732276748,0.3372502217242311,2.5603064368336593e-48,2.5603064368336584e-48,0.001407657474280865,1.6871020117952957e-33,1.8798208231168463e-33
211,0.0039731519016635245,0.003970743791363856,0.003972707346653269,0.003972707346653269,0.3784603741794318,7.740512731666612e-55,7.740512731666698e-55,0.0015039909192267316,1.7446501441363556e-33,1.689015944961386e-33
212,0.00377030185348059,0.0037680128712726055,0.003769876174974057,0.003769876174974057,0.34379739331895015,2.465269093440239e-48,2.465269093440239e-48,0.0013051861700760818,1.913257839681192e-33,2.0457074521442068e-33
213,0.003576924058928481,0.0035747488458999135,0.003576516579446449,0.003576516579446449,0.35635757472629587,8.034640030532331e-55,8.034640030532514e-55,0.001276667885673821,1.8837376964542026e-33,1.880942668102393e-33
214,0.0033926258281448867,0.00339055923760392,0.0033922358883461674,0.0033922358883461674,0.395201848135883,2.3746010319264678e-48,2.3746010319264678e-48,0.0013271060978907148,1.729281642234879e-33,1.7991559166112987e-33
215,0.0032170280994000236,0.003215065189957297,0.0032166550578992376,0.0032166550578992376,0.36483417484154995,8.336978732846785e-55,8.336978732846604e-55,0.0011728783751404736,1.9708990526341325e-33,1.7621142612701164e-33
216,0.0030497651019700126,0.003047901130772552,0.003049408335140649,0.003049408335140649,0.3459415441757345,2.2880637171834463e-48,2.2880637171834475e-48,0.0010499045995045382,1.8120397966269036e-33,1.8908724281878343e-33
217,0.0028904840204225105,0.002888714436539958,0.002890142922186352,0.002890142922186352,0.3513484562259663,8.647682557125749e-55,8.647682557125536e-55,0.00101159646512212,1.8966682955849087e-33,1.7779467774885015e-33
218,0.0027388446607264165,0.0027371650986896187,0.002738518642330289,0.002738518642330289,0.3177060467141746,2.205432648198906e-48,2.2054326481989066e-48,0.0008765803676656477,1.8527290696204434e-33,1.987183545168635e-33
219,0.00259451911857281,0.0025929253920646644,0.0025942076083536416,0.0025942076083536416,0.2927512607738348,8.966907735519363e-55,8.966907735519485e-55,0.0007593677264823754,1.703960397063682e-33,1.7245647981125983e-33
220,0.0024571914502705774,0.0024556795459688093,0.0024568938934097294,0.0024568938934097294,0.31400573402960247,2.1264979829323104e-48,2.1264979829323113e-48,0.0007824498021194784,1.4969493180460616e-33,1.8131215084186097e-33
221,0.0023265573465566657,0.0023251234181279946,0.0023262732048244146,0.0023262732048244146,0.3456851168116517,9.2947945974344e-55,9.294794597434583e-55,0.0008168933081863144,1.883260819500781e-33,1.748493199761578e-33
222,0.002202323809638265,0.002200964171883286,0.002202052561129379,0.002202052561129379,0.2866075011911183,2.0510637724022918e-48,2.0510637724022918e-48,0.0006326577034390478,1.814044156515273e-33,1.591287930427401e-33
223,0.002084208833761894,0.002082919956909765,0.002083949972623121,0.002083949972623121,0.3536958257350719,9.631486902188405e-55,9.63148690218842e-55,0.0007365687643166913,1.6513534527185075e-33,1.506148000092968e-33
224,0.0019719410895828833,0.001970719593734776,0.0019716941257332003,0.0019716941257332003,0.3261058148838761,1.9789453663654964e-48,1.9789453663654958e-48,0.0006482616360197729,1.7199430789275618e-33,1.9772236133252535e-33
225,0.00186525961258771,0.001864102262307855,0.001865024071432161,0.001865024071432161,0.3054684992189831,9.97714639352133e-55,9.977146393521006e-55,0.0005725201480704838,2.129758996872897e-33,1.8936578433640907e-33
226,0.0017639134958013687,0.0017628171948543146,0.001763688917939232,0.001763688917939232,0.33319691705331317,1.909968710690775e-48,1.9099687106907742e-48,0.0005992773138329142,2.0743700820304462e-33,2.037247905461647e-33
227,0.0016676615869922252,0.001666623373224841,0.0016674475279202594,0.0016674475279202594,0.3278890005041563,1.0331929625530202e-54,1.0331929625529882e-54,0.0005514795467603638,2.0010043943030122e-33,1.9826793456119226e-33
228,0.0015762721905677839,0.0015752892309344416,0.0015760682203793122,0.0015760682203793122,0.3246271093076581,1.8439711451456402e-48,1.8439711451456393e-48,0.0005132260054928477,1.909469831623178e-33,1.748260279377544e-33
229,0.0014895227743364327,0.001488592360065591,0.0014893284774168904,0.0014893284774168904,0.3241197479331868,1.0695978217089821e-54,1.0695978217089625e-54,0.0004850940908545594,1.769264790052352e-33,1.789851039757641e-33
